"Category","FileName","OriginalPath","CopiedPath","FileSize","ModifiedTime","Status","Notes"
"Existing Screenshot","PREVIEW_CameraContract_960x540_31m_Red.png","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v001\Previews\Camera\PREVIEW_CameraContract_960x540_31m_Red.png","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Screenshots/Existing/LegacyCamera/PREVIEW_CameraContract_960x540_31m_Red.png","3336","2026-08-12T16:46:33+08:00","LEGACY MATHEMATICAL PREVIEW","Generated camera-contract preview; not a Unity capture."
"Existing Screenshot","PREVIEW_CameraContract_960x540_40m_Blue.png","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v001\Previews\Camera\PREVIEW_CameraContract_960x540_40m_Blue.png","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Screenshots/Existing/LegacyCamera/PREVIEW_CameraContract_960x540_40m_Blue.png","3189","2026-08-12T16:46:33+08:00","LEGACY MATHEMATICAL PREVIEW","Generated camera-contract preview; not a Unity capture."
"Existing Screenshot","PREVIEW_CameraContract_960x540_8m_Blue.png","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v001\Previews\Camera\PREVIEW_CameraContract_960x540_8m_Blue.png","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Screenshots/Existing/LegacyCamera/PREVIEW_CameraContract_960x540_8m_Blue.png","5360","2026-08-12T16:46:33+08:00","LEGACY MATHEMATICAL PREVIEW","Generated camera-contract preview; not a Unity capture."
"Existing Unity Screenshot","Infantry_GameView.png","C:\projects\Unity\AegisRTS.BuildValidation\Infantry_GameView.png","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Screenshots/Existing/Unity/Infantry_GameView.png","198074","2026-08-12T17:28:25+08:00","HISTORICAL UNITY CAPTURE","External validation output; broad game view from 2026-08-12."
"Existing Unity Screenshot","InfantryDetail_Back.png","C:\projects\Unity\AegisRTS.BuildValidation\InfantryDetailReview\InfantryDetail_Back.png","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Screenshots/Existing/Unity/Detail/InfantryDetail_Back.png","87308","2026-08-13T08:46:42+08:00","HISTORICAL UNITY CAPTURE","External close-inspection validation evidence from 2026-08-13."
"Existing Unity Screenshot","InfantryDetail_Front.png","C:\projects\Unity\AegisRTS.BuildValidation\InfantryDetailReview\InfantryDetail_Front.png","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Screenshots/Existing/Unity/Detail/InfantryDetail_Front.png","58726","2026-08-13T08:46:41+08:00","HISTORICAL UNITY CAPTURE","External close-inspection validation evidence from 2026-08-13."
"Existing Unity Screenshot","InfantryDetail_Side.png","C:\projects\Unity\AegisRTS.BuildValidation\InfantryDetailReview\InfantryDetail_Side.png","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Screenshots/Existing/Unity/Detail/InfantryDetail_Side.png","63807","2026-08-13T08:46:41+08:00","HISTORICAL UNITY CAPTURE","External close-inspection validation evidence from 2026-08-13."
"Existing Unity Screenshot","InfantryMovePose_00.png","C:\projects\Unity\AegisRTS.BuildValidation\InfantryDetailReview\InfantryMovePose_00.png","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Screenshots/Existing/Unity/Detail/InfantryMovePose_00.png","46084","2026-08-13T08:46:42+08:00","HISTORICAL UNITY CAPTURE","External close-inspection validation evidence from 2026-08-13."
"Existing Unity Screenshot","InfantryMovePose_01.png","C:\projects\Unity\AegisRTS.BuildValidation\InfantryDetailReview\InfantryMovePose_01.png","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Screenshots/Existing/Unity/Detail/InfantryMovePose_01.png","46874","2026-08-13T08:46:42+08:00","HISTORICAL UNITY CAPTURE","External close-inspection validation evidence from 2026-08-13."
"Existing Unity Screenshot","InfantryMovePose_02.png","C:\projects\Unity\AegisRTS.BuildValidation\InfantryDetailReview\InfantryMovePose_02.png","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Screenshots/Existing/Unity/Detail/InfantryMovePose_02.png","44365","2026-08-13T08:46:42+08:00","HISTORICAL UNITY CAPTURE","External close-inspection validation evidence from 2026-08-13."
"Existing Unity Screenshot","InfantryMovePose_03.png","C:\projects\Unity\AegisRTS.BuildValidation\InfantryDetailReview\InfantryMovePose_03.png","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Screenshots/Existing/Unity/Detail/InfantryMovePose_03.png","46129","2026-08-13T08:46:42+08:00","HISTORICAL UNITY CAPTURE","External close-inspection validation evidence from 2026-08-13."
"Existing Unity Screenshot","Move_00.png","C:\projects\Unity\AegisRTS.BuildValidation\InfantryMovementReview\Move_00.png","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Screenshots/Existing/Unity/Movement/Move_00.png","76050","2026-08-13T11:58:14+08:00","HISTORICAL UNITY CAPTURE","External actual-movement sequence from 2026-08-13."
"Existing Unity Screenshot","Move_01.png","C:\projects\Unity\AegisRTS.BuildValidation\InfantryMovementReview\Move_01.png","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Screenshots/Existing/Unity/Movement/Move_01.png","79090","2026-08-13T11:58:14+08:00","HISTORICAL UNITY CAPTURE","External actual-movement sequence from 2026-08-13."
"Existing Unity Screenshot","Move_02.png","C:\projects\Unity\AegisRTS.BuildValidation\InfantryMovementReview\Move_02.png","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Screenshots/Existing/Unity/Movement/Move_02.png","79756","2026-08-13T11:58:14+08:00","HISTORICAL UNITY CAPTURE","External actual-movement sequence from 2026-08-13."
"Existing Unity Screenshot","Move_03.png","C:\projects\Unity\AegisRTS.BuildValidation\InfantryMovementReview\Move_03.png","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Screenshots/Existing/Unity/Movement/Move_03.png","87008","2026-08-13T11:58:14+08:00","HISTORICAL UNITY CAPTURE","External actual-movement sequence from 2026-08-13."
"Existing Unity Screenshot","Move_04.png","C:\projects\Unity\AegisRTS.BuildValidation\InfantryMovementReview\Move_04.png","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Screenshots/Existing/Unity/Movement/Move_04.png","69879","2026-08-13T11:58:14+08:00","HISTORICAL UNITY CAPTURE","External actual-movement sequence from 2026-08-13."
"Existing Unity Screenshot","Move_05.png","C:\projects\Unity\AegisRTS.BuildValidation\InfantryMovementReview\Move_05.png","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Screenshots/Existing/Unity/Movement/Move_05.png","70997","2026-08-13T11:58:15+08:00","HISTORICAL UNITY CAPTURE","External actual-movement sequence from 2026-08-13."
"Existing Unity Screenshot","Move_06.png","C:\projects\Unity\AegisRTS.BuildValidation\InfantryMovementReview\Move_06.png","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Screenshots/Existing/Unity/Movement/Move_06.png","71571","2026-08-13T11:58:15+08:00","HISTORICAL UNITY CAPTURE","External actual-movement sequence from 2026-08-13."
"Existing Unity Screenshot","Move_07.png","C:\projects\Unity\AegisRTS.BuildValidation\InfantryMovementReview\Move_07.png","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Screenshots/Existing/Unity/Movement/Move_07.png","75522","2026-08-13T11:58:15+08:00","HISTORICAL UNITY CAPTURE","External actual-movement sequence from 2026-08-13."
